City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Fremont,3/14/2011,54954761731,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,
St. Louis,3/14/2011,1.13E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"St. Louis, MO-IL",Midwest Central,Generating Revenue,Second Round,Iwate,,1,1,16.9
Santa Clara,3/14/2011,6.13E+11,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,4.6
Berkeley,3/14/2011,1.83E+11,Semiconductors: Other,Information Technology,Semiconductors,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,
Newport Beach,3/14/2011,6.13E+11,Vertical Market Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,Iwate,Orange County,1,1,0.5
Beaverton,3/14/2011,1.03E+11,Communications Software,Information Technology,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,,1,1,1
Issaquah,3/14/2011,59384755396,Network/Systems Management Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,Seattle Metro,1,1,3
Alexandria,3/15/2011,6.13E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Iwate,Potomac,1,1,1
Watertown,3/15/2011,1.13E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,Later Stage,Iwate,,1,1,
Wakefield,3/15/2011,75212757792,Business Support Services: Other,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,2
Los Angeles,3/15/2011,1.11E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,20
Atlanta,3/15/2011,3.57E+11,Security Services,Business and Financial Services,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Second Round,Iwate,,1,1,0.31
Indianapolis,3/15/2011,56016755541,Online Communities,Consumer Services,Consumer Information Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,53.6
Guilford,3/15/2011,6.13E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"New Haven-Milford, CT",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,0.15
Cambridge,3/15/2011,87574758806,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,3.5
Philadelphia,3/15/2011,59366755297,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,23.3
San Francisco,3/15/2011,6.13E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,1.6
San Francisco,3/15/2011,6.11E+11,Software Development Tools,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,10
San Mateo,3/15/2011,72478755177,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,0.33
Washington,3/15/2011,6.13E+11,Communications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Startup,Seed Round,Iwate,Potomac,1,1,0.2
Columbia,3/16/2011,3.56E+11,Media and Content: Other,Consumer Services,Media and Content,"Columbia, MO",Midwest Central,Generating Revenue,First Round,Iwate,,1,1,1.5
Cambridge,3/16/2011,6.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,5
San Diego,3/16/2011,1.11E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Later Stage,Iwate,San Diego Metro,1,1,3.9
Maricopa,3/16/2011,1.06E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,15
Seattle,3/16/2011,6.13E+11,Graphics/Publishing Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,Iwate,Seattle Metro,1,1,0.3
Encinitas,3/16/2011,1.15E+11,Communications Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Later Stage,Iwate,San Diego Metro,1,1,3.5
Menlo Park,3/16/2011,6.06E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,Iwate,San Francisco Bay Area,1,1,10
Seattle,3/16/2011,3.57E+11,Software Development Tools,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Second Round,Iwate,Seattle Metro,1,1,2.5
Seattle,3/16/2011,4.71E+11,Communications Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Second Round,Iwate,Seattle Metro,1,1,6
Los Angeles,3/16/2011,6.13E+11,Multimedia/Streaming Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Seed Round,Iwate,Los Angeles Metro,1,1,0.13
Menlo Park,3/16/2011,6.13E+11,To Be Assigned,To Be Assigned,To Be Assigned,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,4
Needham,3/17/2011,6.13E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,2.4
McLean,3/17/2011,6.13E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Iwate,Potomac,1,1,
Cambridge,3/17/2011,6.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,First Round,Iwate,Boston Metro,1,1,0.5
San Francisco,3/17/2011,55104755346,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,49
Daly City,3/18/2011,6.13E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Seed Round,Iwate,San Francisco Bay Area,1,1,
Menlo Park,3/18/2011,6.03E+11,Medical Devices and Equipment: Other,Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,1
Boulder,3/18/2011,3.53E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Boulder, CO",Mountain,Product Development,Second Round,Iwate,,1,1,9
New York,3/18/2011,6.07E+11,Business Applications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,1.37
San Francisco,3/18/2011,76935755700,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,12
Hillsboro,3/18/2011,85556755815,Integrated Circuit Production,Information Technology,Semiconductors,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Later Stage,Iwate,,1,1,10.12
San Francisco,3/18/2011,6.13E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Seed Round,Iwate,San Francisco Bay Area,1,1,
Columbus,3/21/2011,6.13E+11,Specialty Foods,Consumer Goods,Food and Beverage,"Columbus, OH",Midwest East,Generating Revenue,First Round,Iwate,,1,1,0.6
San Diego,3/21/2011,6.12E+11,Drug Delivery,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,First Round,Iwate,San Diego Metro,1,1,1.07
Fort Washington,3/21/2011,1.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Pre-Clinical Trials,Later Stage,Iwate,,1,1,11.5
Lexington,3/21/2011,6.13E+11,Medical Devices and Equipment: Other,Healthcare,Medical Devices and Equipment,"Lexington-Fayette, KY",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,0.02
Menlo Park,3/21/2011,3.57E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,7.53
Aliso Viejo,3/21/2011,1.12E+11,Medical Devices and Equipment: Other,Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Orange County,1,1,11.75
Wellesley,3/21/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,5
Waltham,3/21/2011,6.13E+11,Software: Other,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,3
Durham,3/21/2011,1.14E+11,Recreational/Home Software,Information Technology,Software,"Durham-Chapel Hill, NC",South East,Generating Revenue,Later Stage,Iwate,,1,1,10
Los Angeles,3/21/2011,93880755831,Network/Systems Management Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,0.1
Lexington,3/22/2011,1.14E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,Iwate,Boston Metro,1,1,15
San Mateo,3/22/2011,6.13E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Corporate,Iwate,San Francisco Bay Area,1,1,5
Hollywood,3/22/2011,6.13E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,15
Massapequa,3/22/2011,6.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 1,First Round,Iwate,New York Metro,1,1,2.5
Chanhassen,3/22/2011,6.13E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,First Round,Iwate,,1,1,
Kansas City,3/22/2011,6.13E+11,General Industrial Goods,Industrial Goods and Materials,Machinery and Industrial Goods,"Kansas City, MO-KS",Midwest Central,Generating Revenue,First Round,Iwate,,1,1,5.7
San Francisco,3/22/2011,6.09E+11,Educational/Training Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Corporate,Iwate,San Francisco Bay Area,1,1,6.02
Coral Springs,3/22/2011,6.13E+11,Vertical Market Applications Software,Information Technology,Software,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Product Development,First Round,Iwate,,1,1,3
Colmar,3/22/2011,1.10E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,1.6
San Francisco,3/22/2011,4.71E+11,Vertical Market Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,7
New Haven,3/23/2011,6.13E+11,Entertainment,Consumer Services,Consumer Information Services,"New Haven-Milford, CT",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,
Chicago,3/23/2011,6.13E+11,Restaurants/Food Service,Consumer Services,Travel and Leisure,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,Iwate,Chicago Metro,1,1,1.6
New York,3/23/2011,6.13E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,Iwate,New York Metro,1,1,0.75
Mountain Veiw,3/23/2011,6.13E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Seed Round,Iwate,San Francisco Bay Area,1,1,0.68
San Francisco,3/23/2011,6.13E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,1.35
Santa Clara,3/23/2011,55772755520,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,15
Conshohocken,3/23/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Seed Round,Iwate,,1,1,0.25
Bountiful,3/23/2011,6.13E+11,Database Software,Information Technology,Software,"Salt Lake City, UT",Mountain,Generating Revenue,Seed Round,Iwate,,1,1,0.01
Atlanta,3/23/2011,6.10E+11,Network/Systems Management Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Seed Round,Iwate,,1,1,0.5
Dayton,3/24/2011,6.13E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Dayton, OH",Midwest East,Product Development,First Round,Iwate,,1,1,
Seattle,3/24/2011,84637757779,Advertising/Marketing,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Restart,Iwate,Seattle Metro,1,1,3
Chicago,3/24/2011,6.13E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Second Round,Iwate,Chicago Metro,1,1,5.6
Palo Alto,3/24/2011,1.13E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Second Round,Iwate,San Francisco Bay Area,1,1,4.89
San Diego,3/24/2011,1.03E+11,Network/Systems Management Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Profitable,Later Stage,Iwate,San Diego Metro,1,1,7.5
Durham,3/24/2011,6.13E+11,Graphics/Publishing Software,Information Technology,Software,"Durham-Chapel Hill, NC",South East,Product Development,Seed Round,Iwate,,1,1,0.64
Mason,3/25/2011,1.12E+11,Medical/Lab Services,Healthcare,Healthcare Services,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,11
Memphis,3/25/2011,1.11E+11,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Later Stage,Iwate,,1,1,3
Tyngsboro,3/25/2011,3.57E+11,Drug Delivery,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,Iwate,Boston Metro,1,1,2.62
West Melbourne,3/25/2011,3.60E+11,Security Products,Industrial Goods and Materials,Aerospace and Defense,"Palm Bay-Melbourne-Titusville, FL",South East,Generating Revenue,Later Stage,Iwate,,1,1,1
Washington,3/25/2011,6.09E+11,Educational/Training Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,ACQ Financing,Iwate,Potomac,1,1,1.38
New York,3/25/2011,6.12E+11,Wired Telecommunications Service Providers,Information Technology,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,First Round,Iwate,New York Metro,1,1,2.5
Boston,3/25/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,8.5
